precision,recall,threshold
8.241591758408241264e-02,1.000000000000000000e+00,0.000000000000000000e+00
8.446298227320124530e-02,9.926470588235294379e-01,1.919385790824890137e-02
9.741114523913997625e-02,9.522058823529411242e-01,1.933963596820831299e-02
9.742335903705097444e-02,9.522058823529411242e-01,1.948609016835689545e-02
9.743557589817543330e-02,9.522058823529411242e-01,1.953418552875518799e-02
1.126465974452827423e-01,9.240196078431373028e-01,2.052067965269088745e-02
1.126634292118042641e-01,9.240196078431373028e-01,2.103178575634956360e-02
1.126802660091160424e-01,9.240196078431373028e-01,2.222222276031970978e-02
1.141600970285021194e-01,9.227941176470588758e-01,2.260213904082775116e-02
1.141774071266110635e-01,9.227941176470588758e-01,2.312742546200752258e-02
1.141947224749772505e-01,9.227941176470588758e-01,2.329450845718383789e-02
1.237615449202350976e-01,9.031862745098039325e-01,2.573499456048011780e-02
1.237719371903602261e-01,9.031862745098039325e-01,2.767188660800457001e-02
1.237927269673301384e-01,9.031862745098039325e-01,3.125000000000000000e-02
1.252342818197307861e-01,9.007352941176470784e-01,3.264816105365753174e-02
1.252449518616341462e-01,9.007352941176470784e-01,3.288840502500534058e-02
1.252662974009373653e-01,9.007352941176470784e-01,3.563058748841285706e-02
1.252876502173357331e-01,9.007352941176470784e-01,3.826787322759628296e-02
1.253090103145511891e-01,9.007352941176470784e-01,3.891620039939880371e-02
1.253303776963083094e-01,9.007352941176470784e-01,4.139106720685958862e-02
1.253517523663341127e-01,9.007352941176470784e-01,4.207119718194007874e-02
1.471564742422619698e-01,8.419117647058823595e-01,4.894326999783515930e-02
1.725604892315873440e-01,7.953431372549019107e-01,6.818182021379470825e-02
1.766716805688499925e-01,7.916666666666666297e-01,6.822320818901062012e-02
1.767200109424155452e-01,7.916666666666666297e-01,6.845454871654510498e-02
1.767683677657682362e-01,7.916666666666666297e-01,6.866952776908874512e-02
1.856032839759566011e-01,7.757352941176470784e-01,8.005621284246444702e-02
1.856577210734711714e-01,7.757352941176470784e-01,8.695652335882186890e-02
1.890996687744655180e-01,7.696078431372549433e-01,8.965478837490081787e-02
1.891566265060241059e-01,7.696078431372549433e-01,8.991615474224090576e-02
1.892136185598071729e-01,7.696078431372549433e-01,9.031561017036437988e-02
1.892706449668475066e-01,7.696078431372549433e-01,9.047227352857589722e-02
1.893277057582152534e-01,7.696078431372549433e-01,9.137056022882461548e-02
2.226322263222632325e-01,6.654411764705882026e-01,9.363265335559844971e-02
2.227235438884331287e-01,6.654411764705882026e-01,1.260022968053817749e-01
2.747804265997490503e-01,5.367647058823529216e-01,1.455265581607818604e-01
2.749529190207156137e-01,5.367647058823529216e-01,1.668058037757873535e-01
2.750392464678179105e-01,5.367647058823529216e-01,1.742919385433197021e-01
3.076923076923077094e-01,4.583333333333333148e-01,1.747795790433883667e-01
3.079456566488266711e-01,4.583333333333333148e-01,1.841226369142532349e-01
3.080724876441515714e-01,4.583333333333333148e-01,1.951219439506530762e-01
3.266893534273213606e-01,4.117647058823529216e-01,2.222222238779067993e-01
3.292017848289539028e-01,4.068627450980392135e-01,2.368421107530593872e-01
3.707386363636363535e-01,3.198529411764705621e-01,2.424242496490478516e-01
4.455825864276568571e-01,2.132352941176470507e-01,2.563372552394866943e-01
4.441591784338895788e-01,2.120098039215686236e-01,3.143135011196136475e-01
4.427284427284427504e-01,2.107843137254901966e-01,3.148148059844970703e-01
4.566929133858267931e-01,1.066176470588235253e-01,3.196627199649810791e-01
4.578947368421052433e-01,1.066176470588235253e-01,3.225806355476379395e-01
4.981132075471698117e-01,8.088235294117647467e-02,3.333333432674407959e-01
4.739336492890995345e-01,6.127450980392156604e-02,5.266358852386474609e-01
4.761904761904761640e-01,6.127450980392156604e-02,5.714285969734191895e-01
1.000000000000000000e+00,0.000000000000000000e+00,nan
